User_id,User_Name,Gender,Favoriate_food,Account,Password
0,delmartian,male,Plain Papadum,7.87E+17,chevrole
1,dll pa,male,King Prawn Balti,7.96E+17,12345678
2,"Natalia Corres ""Natalia Corres""",male,Garlic Naan,8.76E+17,qwerty
3,Karl,male,Mushroom Rice,7.56E+17,123456789
4,"Michael D. Bigham ""M. Wassir""",female,Paneer Tikka Masala,464781334,12345
5,Twoapennything,female,Mango Chutney,8.01E+17,1234
6,David C. Sullivan,brand,Plain Naan,55050269,111111
7,Pamela G. Williams,male,Mushroom Rice,809500704,1234567
8,R. James,female,Tandoori Chicken (1/4),1015021614,dragon
9,Carol A. Reed,female,Vindaloo - Lamb,492306486,123123
10,Canadian Fan,brand,Chapati,432537664,baseball
11,"A Poeng ""SparkyGoHome""",brand,Lamb Tikka,2579497028,abc123
12,LT,female,Saag Paneer,19660870,football
13,"willie ""roadie""",brand,Aloo Chaat,313087874,monkey
14,"Lynrie ""Oh HELL no""",female,Chicken Pakora,211550281,letmein
15,Brian A. Lee,female,Chicken Chilli Garlic,769392715,696969
16,Erica Neathery,female,Lamb Biryani,7.72E+17,shadow
17,Becca,male,Keema Naan,7.73E+17,master
18,Wolfee1,male,Chicken Pakora,476691783,666666
19,Greg,unknown,Plain Papadum,384565337,qwertyuiop
20,mom2emma,female,Mango Chutney,305922144,123321
21,Tammy Anderson,female,Red Sauce,1183842404,mustang
22,Charles Brown,female,Korma - Prawn,253755500,1234567890
23,Mare's,male,Peshwari Naan,368050288,michael
24,"S. Cabanaugh ""jilly pepper""",male,Pilau Rice,14418045,654321
25,"Deborah S. Linzer ""Cat Lady""",female,Chicken Balti,296484990,pussy
26,lady21,brand,Special Fried Rice,9.32E+17,superman
27,Heather Dube,brand,Chicken Tikka Masala,99352713,1qaz2wsx
28,DaisyH,female,Curry - Lamb,519045260,7777777
29,Canadian Fan,male,Pilau Rice,115343506,fuckyou
30,Sherril,brand,Peshwari Naan,2166882457,121212
31,"Molly V. Smith ""staral""",male,Plain Papadum,381157528,0
32,S. Potter,female,Plain Papadum,721944734,qazwsx
33,"Megan ""Bad at Nicknames""",male,Vegetable Rice,3392143521,123qwe
